"FID","Area_Day_21","Area_Day_21_.MPH.","Area_Day_29","Area_Day_29_.MPH.","Area_Growth","Area_Growth_.MPH.","DTF","LTF","LTF_.MPH.","Perimeter_Day_21_.MPH.","Perimeter_Day_29","Perimeter_Day_29_.MPH.","Perimeter_Growth","Perimeter_Growth_.MPH.","Rosette_Diameter","Rosette_Diameter_.MPH.","Rosette_Dry_Mass_.MPH."
"C378",70.4061,-21.807,52.0392,-3.4967,26.2309,-1.4951,3.6172,2.4283,0.1094,-5.7096,22.3191,-1.2515,13.7342,-0.6591,89.4549,22.6409,0.1279
"C379",94.6311,31.8638,61.9611,8.0323,31.0013,4.1364,3.6348,2.5062,0.111,8.4228,26.3985,2.9864,17.3784,3.0802,86.508,15.9168,0.2533
"C380",79.9224,10.2456,55.286,3.3472,27.6995,1.8482,3.5918,2.4452,0.1412,2.3274,23.476,0.7347,14.4181,0.6732,83.7071,12.0826,0.236
"C381",79.6477,10.4252,51.1787,1.0214,24.8561,0.1937,3.6518,2.4598,0.1084,1.8582,21.9706,0.2567,12.1047,-0.0849,46.4308,-9.1263,-0.1253
"C382",80.4149,1.513,55.6714,3.5615,27.9221,2.4334,3.5664,2.3994,0.1747,1.226,24.3862,1.8986,15.6547,2.8179,79.388,24.8045,0.2497
"C383",87.0286,16.9844,57.725,3.8971,28.7546,1.9442,3.6248,2.5266,0.1714,3.6561,24.6138,1.0829,15.3207,0.9046,77.72,9.3884,0.4241
"C385",81.2311,13.855,55.8313,4.7332,27.9599,2.6301,3.5372,2.4245,0.1979,3.5739,24.5297,2.3438,15.8196,2.8736,72.0738,13.2046,0.2779
"C386",79.4193,-0.8926,50.4963,-3.5632,24.3627,-2.4954,3.5784,2.4393,0.182,0.1345,22.0211,-1.4763,11.6721,-2.5955,49.7396,-11.2925,-0.248
"C387",71.5104,-16.4858,50.2113,-3.3604,24.9618,-1.5924,3.5252,2.2521,0.0426,-3.8591,22.205,-0.9522,13.395,-0.5798,60.2797,-3.7521,-0.2134
"C388",77.5187,3.6912,53.7296,1.6142,26.8453,0.9517,3.5316,2.2571,0.1256,0.2284,22.8315,0.124,13.7792,0.1703,70.0607,8.6318,0.2933
"C390",77.5301,6.945,55.9928,6.0015,28.3181,3.7513,3.6536,2.5879,0.2426,1.5175,23.9771,2.2048,15.3692,3.1372,67.8132,39.2983,0.9609
"C391",77.8605,8.6368,50.6209,2.2983,24.6349,1.271,3.6448,2.446,0.0327,1.8751,22.3389,0.7368,12.5736,0.7107,56.8325,15.0066,0.4523
"C392",69.874,-7.818,50.8178,-1.1865,25.5053,-0.4222,3.6384,2.5293,0.1386,-2.8215,22.1983,-0.8637,13.526,-0.6176,81.8631,29.7238,0.858
"C393",70.4221,-5.391,52.1667,1.9463,26.3256,1.5146,3.674,2.6077,0.2225,-1.6605,22.8855,0.3332,14.2975,0.889,61.1797,15.2563,0.8682
"C394",71.6888,-7.1894,51.7243,-0.3354,25.9736,0.1141,3.7154,2.8676,0.3741,-2.4858,23.1203,0.0479,14.706,0.709,64.1428,7.7647,0.6545
"C395",80.8638,19.689,50.454,2.1659,24.13,0.4731,3.7016,2.6592,0.2094,5.0242,22.104,0.7297,11.5316,-0.3567,42.5991,1.2552,0.2652
"C396",77.0982,1.711,51.5879,1.347,25.4378,0.9546,3.7044,2.722,0.399,0.1789,22.469,0.321,13.0851,0.5496,66.3168,25.9464,0.8253
